week_start,run_date,banner,product_id,brand,title,package_size,unit_price,unit_price_basis,price,was_price,deal_type,deal_text,deal_expiry,url
4/9/2026,4/10/2026,Independent City Market,20124384002_EA,Silk,"Soy Milk Alternative, Vanilla, Dairy Free, 7g of Protein",1.89 l,0.28,100ml,5.29,,MULTI,$4.50 MIN 2,,https://www.independentcitymarket.ca/en/soy-milk-alternative-vanilla-dairy-free-7g-of-prot/p/20124384002_EA
4/9/2026,4/10/2026,Independent City Market,21021224_EA,Green Giant,"Corn Niblets, Whole Kernel",341 ml,0.67,100ml,2.29,,,,,https://www.independentcitymarket.ca/en/corn-niblets-whole-kernel/p/21021224_EA
4/9/2026,4/10/2026,Independent City Market,21677467_EA,Tropicana,100% Fresh Pressed Juice Apple Juice,1.36 l,0.5,100ml,6.79,,,,,https://www.independentcitymarket.ca/en/100-fresh-pressed-juice-apple-juice/p/21677467_EA
4/9/2026,4/10/2026,Independent City Market,20637355_EA,Quaker,Life Original Cereal,450 g,1.33,100g,5.99,,,,,https://www.independentcitymarket.ca/en/life-original-cereal/p/20637355_EA
4/9/2026,4/10/2026,Independent City Market,20698133_EA,President's Choice,Chicken Spring Rolls,574 g,1.74,100g,10.00,,,,,https://www.independentcitymarket.ca/en/chicken-spring-rolls/p/20698133_EA
4/9/2026,4/10/2026,Independent City Market,21511747_EA,Kelloggs,Eggo Thick & Fluffy Waffles Original,330 g,1.36,100g,4.49,,,,,https://www.independentcitymarket.ca/en/eggo-thick-fluffy-waffles-original/p/21511747_EA
4/9/2026,4/10/2026,Independent City Market,21240913_EA,Lay's,Wavy Lightly Salted Potato Chips,235 g,2.25,100g,5.29,,MULTI,$4.75 MIN 2,,https://www.independentcitymarket.ca/en/wavy-lightly-salted-potato-chips/p/21240913_EA
4/9/2026,4/10/2026,Independent City Market,20125755_EA,Pita Break,"Mini Pitas, Regular",450 g,1.11,100g,4.99,,,,,https://www.independentcitymarket.ca/en/mini-pitas-regular/p/20125755_EA
4/9/2026,4/10/2026,Independent City Market,21715576_EA,Softsoap,Refill Hand Soap,1.47 l,0.58,100ml,8.49,,,,,https://www.independentcitymarket.ca/en/refill-hand-soap/p/21715576_EA
4/9/2026,4/10/2026,Independent City Market,21191830_EA,Janes,"Pub Style Chicken Nugget, Fully Cooked",700 g,2.14,100g,15.00,,,,,https://www.independentcitymarket.ca/en/pub-style-chicken-nugget-fully-cooked/p/21191830_EA
4/9/2026,4/10/2026,Independent City Market,20817066001_KG,,Papaya,$5.03/1kg $2.28/1lb,,,6.54,,,,,https://www.independentcitymarket.ca/en/papaya/p/20817066001_KG
4/9/2026,4/10/2026,Independent City Market,20054025001_EA,Farmer's Market,"Mandarin, 4 lb bag",1.8 kg,0.61,100g,10.99,,,,,https://www.independentcitymarket.ca/en/mandarin-4-lb-bag/p/20054025001_EA
